ColumnaX,ColumnaZ,ColumnaY
2.002,30.851,318
1.999,30.782,319
1.998,30.737,320
2.005,30.957,321
2.002,30.851,322
2.004,30.912,323
2.000,30.790,324
1.993,30.595,325
2.012,31.182,326
2.001,30.819,327
1.999,30.758,328
2.010,31.096,329
2.003,30.896,330
2.006,30.998,331
2.001,30.827,332
2.016,31.289,333
2.014,31.235,334
2.008,31.047,335
2.009,31.084,336
2.006,30.974,337
2.006,30.978,338
2.010,31.112,339
2.014,31.223,340
2.015,31.264,341
2.006,30.998,342
2.011,31.137,343
2.005,30.949,344
2.009,31.072,345
2.006,30.998,346
2.008,31.055,347
2.000,30.798,348
2.004,30.916,349
2.005,30.945,350
2.006,30.986,351
2.000,30.807,352
2.004,30.925,353
2.004,30.908,354
2.003,30.884,355
2.003,30.888,356
1.995,30.632,357
2.003,30.900,358
2.009,31.080,359
2.012,31.166,360
2.017,31.321,361
2.016,31.280,362
2.008,31.047,363
2.016,31.284,364
2.018,31.362,365
2.023,31.519,366
2.020,31.412,367
2.009,31.076,368
2.014,31.235,369
2.014,31.219,370
2.007,31.006,371
2.018,31.350,372
2.010,31.096,373
2.009,31.092,374
2.004,30.937,375
2.004,30.933,376
2.004,30.937,377
2.013,31.198,378
2.006,30.978,379
2.012,31.174,380
2.007,31.018,381
2.004,30.921,382
2.003,30.888,383
2.017,31.334,384
2.014,31.243,385
2.006,30.978,386
2.002,30.876,387
2.011,31.145,388
2.012,31.162,389
2.004,30.937,390
2.014,31.235,391
2.014,31.227,392
2.007,31.002,393
2.014,31.235,394
2.010,31.096,395
2.010,31.104,396
2.009,31.072,397
2.011,31.153,398
2.014,31.227,399
2.008,31.043,400
2.013,31.215,401
2.011,31.149,402
2.004,30.929,403
2.011,31.145,404
2.007,31.023,405
1.999,30.774,406
2.003,30.896,407
2.007,31.002,408
2.007,31.027,409
2.003,30.896,410
2.006,30.974,411
2.007,31.031,412
2.013,31.194,413
2.010,31.108,414
2.007,31.006,415
2.012,31.170,416
2.015,31.272,417
2.011,31.129,418
2.007,31.002,419
2.011,31.153,420
2.008,31.051,421
2.006,30.974,422
2.008,31.059,423
2.005,30.949,424
2.003,30.904,425
2.010,31.121,426
1.998,30.746,427
2.008,31.039,428
1.999,30.782,429
2.007,31.006,430
2.005,30.961,431
2.006,30.982,432
2.013,31.198,433
2.007,31.006,434
2.015,31.268,435
2.007,31.010,436
2.005,30.961,437
2.011,31.153,438
2.013,31.215,439
2.021,31.449,440
2.016,31.305,441
2.010,31.104,442
2.023,31.523,443
2.014,31.223,444
2.015,31.268,445
2.012,31.182,446
